Station Date      Time   Pred6  Backup Acoustc
8518750 20121030 14:54    0.33    2.03    2.00
8518750 20121030 15:00    0.27    1.92    1.89
8518750 20121030 15:06    0.22    1.84    1.83
8518750 20121030 15:12    0.18    1.77    1.77
8518750 20121030 15:18    0.14    1.71    1.69
8518750 20121030 15:24    0.11    1.67    1.65
8518750 20121030 15:30    0.09    1.64    1.61
8518750 20121030 15:36    0.08    1.60    1.58
8518750 20121030 15:42    0.08    1.58    1.56
8518750 20121030 15:48    0.09    1.58    1.54
8518750 20121030 15:54    0.10    1.56    1.52
8518750 20121030 16:00    0.13    1.53    1.51
8518750 20121030 16:06    0.16    1.52    1.51
8518750 20121030 16:12    0.20    1.53    1.52
8518750 20121030 16:18    0.26    1.55    1.53
8518750 20121030 16:24    0.32    1.54    1.53
8518750 20121030 16:30    0.39    1.58    1.57
8518750 20121030 16:36    0.47    1.64    1.64
8518750 20121030 16:42    0.55    1.70    1.70
8518750 20121030 16:48    0.64    1.83    1.80
8518750 20121030 16:54    0.74    1.94    1.93
8518750 20121030 17:00    0.84    2.03    2.02
8518750 20121030 17:06    0.95    2.14    2.13
8518750 20121030 17:12    1.06    2.26    2.26
8518750 20121030 17:18    1.17    2.40    2.41
8518750 20121030 17:24    1.29    2.57    2.58
8518750 20121030 17:30    1.41    2.73    2.73
8518750 20121030 17:36    1.53    2.89    2.89
8518750 20121030 17:42    1.66    3.03    3.04
8518750 20121030 17:48    1.78    3.17    3.20
8518750 20121030 17:54    1.90    3.33    3.37
8518750 20121030 18:00    2.02    3.50    3.54
8518750 20121030 18:06    2.15    3.66    3.71
8518750 20121030 18:12    2.27    3.83    3.90
8518750 20121030 18:18    2.39    4.01    4.08
8518750 20121030 18:24    2.50    4.17    4.25
8518750 20121030 18:30    2.62    4.29    4.40
8518750 20121030 18:36    2.73    4.44    4.55
8518750 20121030 18:42    2.84    4.60    4.71
8518750 20121030 18:48    2.95    4.78    4.88
8518750 20121030 18:54    3.05    4.92    5.03
8518750 20121030 19:00    3.16    4.99    5.13
8518750 20121030 19:06    3.26    5.10    5.26
8518750 20121030 19:12    3.36    5.22    5.38
8518750 20121030 19:18    3.45    5.35    5.50
8518750 20121030 19:24    3.54    5.41    5.58
8518750 20121030 19:30    3.63    5.50    5.69
8518750 20121030 19:36    3.71    5.58    5.76
8518750 20121030 19:42    3.80    5.64    5.83
8518750 20121030 19:48    3.87    5.68    5.87
8518750 20121030 19:54    3.95    5.73    5.93
8518750 20121030 20:00    4.02    5.79    5.98
8518750 20121030 20:06    4.09    5.79    6.00
8518750 20121030 20:12    4.15    5.81    6.02
8518750 20121030 20:18    4.22    5.83    6.03
8518750 20121030 20:24    4.27    5.86    6.06
8518750 20121030 20:30    4.32    5.88    6.08
8518750 20121030 20:36    4.37    5.89    6.09
8518750 20121030 20:42    4.42    5.88    6.08
8518750 20121030 20:48    4.46    5.88    6.07
8518750 20121030 20:54    4.49    5.88    6.07
8518750 20121030 21:00    4.52    5.88    6.08
8518750 20121030 21:06    4.55    5.91    6.10
8518750 20121030 21:12    4.57    5.91    6.10
8518750 20121030 21:18    4.58    5.90    6.10
8518750 20121030 21:24    4.60    5.90    6.10
8518750 20121030 21:30    4.60    5.87    6.07
8518750 20121030 21:36    4.60    5.84    6.05
8518750 20121030 21:42    4.59    5.80    6.01
8518750 20121030 21:48    4.58    5.79    6.00
8518750 20121030 21:54    4.56    5.77    5.97
8518750 20121030 22:00    4.54    5.72    5.93
8518750 20121030 22:06    4.51    5.68    5.89
8518750 20121030 22:12    4.48    5.64    5.84
8518750 20121030 22:18    4.43    5.58    5.78
8518750 20121030 22:24    4.38    5.51    5.71
8518750 20121030 22:30    4.33    5.44    5.63
8518750 20121030 22:36    4.27    5.38    5.57
8518750 20121030 22:42    4.20    5.32    5.50
8518750 20121030 22:48    4.13    5.23    5.41
8518750 20121030 22:54    4.05    5.15    5.32
8518750 20121030 23:00    3.96    5.07    5.24
8518750 20121030 23:06    3.87    4.96    5.13
8518750 20121030 23:12    3.78    4.86    5.03
8518750 20121030 23:18    3.68    4.75    4.92
8518750 20121030 23:24    3.58    4.63    4.80
8518750 20121030 23:30    3.47    4.52    4.69
8518750 20121030 23:36    3.37    4.42    4.60
8518750 20121030 23:42    3.25    4.32    4.50
8518750 20121030 23:48    3.14    4.22    4.39
8518750 20121030 23:54    3.03    4.12    4.28
